# Constructed from biom file
#OTU ID	BlankpcrCES	C_Aviemore_LB_1	C_Aviemore_LB_2	C_Aviemore_TY_1	C_Aviemore_TY_2	C_Aviemore_YMA_1	C_Aviemore_YMA_2	C_BruceH_LB_2	C_BruceH_TY_1	C_BruceH_TY_2	C_BruceH_YMA_1	C_BruceH_YMA_2	C_Cedarvale_LB_1	C_Cedarvale_LB_2	C_Cedarvale_TY_1	C_Cedarvale_TY_2	C_Cedarvale_YMA_1	C_Cedarvale_YMA_2	C_Grenadier_LB_1	C_Grenadier_LB_2	C_Grenadier_TY_1	C_Grenadier_TY_2	C_Grenadier_YMA_1	C_Grenadier_YMA_2	C_Humber_LB_1	C_Humber_LB_2	C_Humber_TY_1	C_Humber_TY_2	C_Humber_YMA_1	C_Humber_YMA_2	C_KSR_LB_1	C_KSR_LB_2	C_KSR_TY_1	C_KSR_TY_2	C_KSR_YMA_1	C_KSR_YMA_2	C_Preston_LB_1	C_Preston_LB_2	C_Preston_TY_1	C_Preston_TY_2	C_Preston_YMA_1	C_Preston_YMA_2	C_Rouge_LB_1	C_Rouge_LB_2	C_Rouge_TY_1	C_Rouge_TY_2	C_Rouge_YMA_1	C_Rouge_YMA_2	C_Terracotta_LB_1	C_Terracotta_TY_1	C_Terracotta_TY_2	C_Terracotta_YMA_1	C_Terracotta_YMA_2	D_Aviemore_1_A	D_Aviemore_1_B	D_Aviemore_2_A	D_Aviemore_2_B	D_BruceH_1_A	D_BruceH_1_B	D_BruceH_2_A	D_BruceH_2_B	D_Cedarvale_1_A	D_Cedarvale_1_B	D_Cedarvale_2_A	D_Cedarvale_2_B	D_Cedarvale_3_A	D_Cedarvale_3_B	D_Grenadier_1_A	D_Grenadier_1_B	D_Grenadier_2_A	D_Grenadier_2_B	D_Grenadier_3_A	D_Grenadier_3_B	D_Humber_1_A	D_Humber_1_B	D_Humber_2_A	D_Humber_2_B	D_Humber_3_A	D_Humber_3_B	D_KSR_1_A	D_KSR_1_B	D_KSR_2_A	D_KSR_2_B	D_Preston_1_A	D_Preston_1_B	D_Preston_2_A	D_Preston_2_B	D_Rouge_1_A	D_Rouge_1_B	D_Rouge_2_A	D_Rouge_2_B	D_Terracotta_1_A	D_Terracotta_1_B	D_Terracotta_2_A	D_Terracotta_2_B
d47211920b3f3ebaf0d214cfcb2e4a74	0.0	273.0	0.0	5610.0	113.0	872.0	0.0	438.0	646.0	464.0	330.0	12.0	834.0	2012.0	9605.0	105.0	1399.0	337.0	6438.0	12.0	2265.0	141.0	2088.0	32.0	5418.0	23.0	1273.0	233.0	10934.0	252.0	2783.0	1405.0	3118.0	733.0	1974.0	1221.0	41.0	100.0	46.0	158.0	0.0	85.0	640.0	0.0	820.0	33.0	577.0	43.0	169.0	470.0	507.0	546.0	572.0	0.0	64.0	0.0	0.0	0.0	6.0	0.0	31.0	16.0	32.0	22.0	12.0	168.0	29.0	53.0	0.0	0.0	0.0	23.0	24.0	23.0	0.0	43.0	51.0	151.0	18.0	427.0	209.0	510.0	302.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	26.0	0.0
6fd16abd8f63c11eabb853eb2203da2c	0.0	0.0	95.0	484.0	149.0	696.0	148.0	1481.0	640.0	245.0	1056.0	0.0	43.0	292.0	57.0	0.0	357.0	121.0	14325.0	77.0	1454.0	105.0	4322.0	179.0	5860.0	123.0	1084.0	221.0	8599.0	193.0	0.0	107.0	0.0	270.0	0.0	112.0	70.0	863.0	538.0	1760.0	595.0	1306.0	119.0	1681.0	78.0	1922.0	98.0	1100.0	329.0	182.0	389.0	133.0	867.0	9.0	0.0	7.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	26.0	9.0	0.0	0.0	0.0	0.0	38.0	23.0	5.0	12.0	6.0	7.0	0.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	8.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	33.0
1049a10a3e1e494a7d1c5d35e99263f9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1464.0	1855.0	2173.0	1606.0	1499.0	482.0	1635.0	1606.0	5255.0	4851.0	2423.0	2542.0	452.0	656.0	878.0	1363.0	589.0	675.0	465.0	219.0	5203.0	690.0	2095.0	2325.0	1347.0	1396.0	1937.0	585.0	147.0	107.0	37.0	23.0	0.0	0.0	4343.0	305.0	0.0	0.0	117.0	102.0	83.0	10.0
c1f02346082351310248042fb998dbc7	0.0	0.0	6458.0	0.0	7665.0	0.0	11011.0	843.0	7829.0	1263.0	5712.0	1290.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	91.0	249.0	275.0	69.0	1421.0	36.0	523.0	84.0	1127.0	0.0	2085.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	79.0	68.0	179.0	91.0	248.0	26.0	0.0	968.0	40.0	204.0	51.0	155.0	114.0	0.0	351.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	16.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5f98dd5532790d8d4c9c1edfbe48d55e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	695.0	0.0	0.0	0.0	0.0	391.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	22062.0	13726.0	2661.0	3774.0
c671a6de79fcaf3273d0ee63d7a130c9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	779.0	2069.0	840.0	1711.0	2934.0	3942.0	2646.0	2958.0	0.0	0.0	0.0	0.0	0.0	0.0	3187.0	3995.0	2241.0	1200.0	496.0	217.0	826.0	4971.0	319.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	962.0	531.0	701.0	167.0	414.0	3517.0	449.0	575.0	28.0	129.0	639.0	0.0
4e47b4cc41fbf51614488c20f2c90fae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12840.0	0.0	2545.0	0.0	25403.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	35.0	150.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	7.0	0.0	0.0	0.0	0.0
f380bab66caa2aa2f97e39ccd14b5a2d	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3359.0	1839.0	1332.0	1182.0	167.0	80.0	363.0	279.0	33.0	68.0	38.0	16.0	255.0	1457.0	3814.0	2381.0	1454.0	4031.0	155.0	161.0	977.0	75.0	2466.0	2129.0	108.0	1167.0	26.0	22.0	64.0	37.0	31.0	12.0	20.0	23.0	1845.0	129.0	31.0	30.0	462.0	1025.0	649.0	899.0
bb111a25a273a8831b163a6899811eec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26689.0	0.0	0.0	0.0	0.0	0.0	6490.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	241.0	0.0	0.0	0.0	0.0	12.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bfdc822f4e5dd441dc4e255614ce4867	0.0	0.0	119.0	325.0	229.0	888.0	195.0	0.0	702.0	1649.0	401.0	441.0	0.0	6213.0	490.0	1208.0	562.0	1304.0	21.0	0.0	392.0	199.0	389.0	256.0	19.0	0.0	459.0	86.0	4426.0	245.0	634.0	966.0	2503.0	335.0	0.0	2167.0	218.0	0.0	909.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	18.0	0.0	0.0	1430.0	168.0	790.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	126.0	0.0	239.0	0.0	51.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	43.0	162.0	158.0	121.0	108.0	0.0	0.0	34.0	30.0	59.0	30.0	64.0	0.0	0.0	0.0
